FL_DATE,AIRLINE,AIRLINE_CODE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
13/9/2019,Republic Airline,YX,"Newark, NJ","Detroit, MI",1400,1424.0,24.0,24.0,1448.0,1644.0,14.0,1557,1658.0,61.0,117.0,154.0,116.0,488,24.0,0.0,37.0,0.0,0.0,2
6/8/2021,Frontier Airlines Inc.,F9,"Las Vegas, NV","Dallas/Fort Worth, TX",1023,1257.0,154.0,24.0,1321.0,1728.0,10.0,1514,1738.0,144.0,171.0,161.0,127.0,1055,14.0,0.0,0.0,0.0,130.0,2
1/4/2022,United Air Lines Inc.,UA,"Chicago, IL","Hartford, CT",1831,2001.0,90.0,18.0,2019.0,2259.0,5.0,2142,2304.0,82.0,131.0,123.0,100.0,783,36.0,0.0,0.0,0.0,46.0,2
19/12/2021,Southwest Airlines Co.,WN,"Chicago, IL","Detroit, MI",2235,2345.0,70.0,23.0,8.0,144.0,5.0,40,149.0,69.0,65.0,64.0,36.0,228,63.0,0.0,0.0,0.0,6.0,2
14/3/2020,American Airlines Inc.,AA,"Jackson, WY","Dallas/Fort Worth, TX",1540,1134.0,1194.0,79.0,1253.0,1615.0,17.0,1929,1632.0,1263.0,169.0,238.0,142.0,1047,1194.0,0.0,69.0,0.0,0.0,2
25/2/2019,Spirit Air Lines,NK,"Tampa, FL","Philadelphia, PA",1442,1612.0,90.0,21.0,1633.0,1836.0,9.0,1714,1845.0,91.0,152.0,153.0,123.0,920,0.0,0.0,91.0,0.0,0.0,2
2/10/2022,American Airlines Inc.,AA,"Los Angeles, CA","Philadelphia, PA",1330,1914.0,344.0,16.0,1930.0,304.0,5.0,2145,309.0,324.0,315.0,295.0,274.0,2402,0.0,0.0,0.0,0.0,324.0,2
5/11/2019,United Air Lines Inc.,UA,"Tampa, FL","Houston, TX",1557,1743.0,106.0,9.0,1752.0,1857.0,7.0,1725,1904.0,99.0,148.0,141.0,125.0,787,0.0,0.0,0.0,0.0,99.0,2
12/7/2023,United Air Lines Inc.,UA,"Chicago, IL","Boston, MA",906,1013.0,67.0,30.0,1043.0,1330.0,6.0,1233,1336.0,63.0,147.0,143.0,107.0,867,7.0,0.0,0.0,0.0,56.0,2
19/7/2022,Delta Air Lines Inc.,DL,"Atlanta, GA","Pittsburgh, PA",2253,8.0,75.0,15.0,23.0,140.0,8.0,36,148.0,72.0,103.0,100.0,77.0,526,4.0,0.0,0.0,0.0,68.0,2
22/2/2023,United Air Lines Inc.,UA,"Jackson, WY","Chicago, IL",1246,1449.0,123.0,13.0,1502.0,1815.0,18.0,1644,1833.0,109.0,178.0,164.0,133.0,1162,59.0,0.0,0.0,0.0,50.0,2
15/4/2023,JetBlue Airways,B6,"Detroit, MI","New York, NY",1943,2139.0,116.0,21.0,2200.0,2321.0,53.0,2129,14.0,165.0,106.0,155.0,81.0,509,0.0,0.0,106.0,0.0,59.0,2
15/2/2023,United Air Lines Inc.,UA,"Houston, TX","Los Angeles, CA",720,913.0,113.0,18.0,931.0,1045.0,5.0,911,1050.0,99.0,231.0,217.0,194.0,1379,99.0,0.0,0.0,0.0,0.0,2
7/7/2021,Southwest Airlines Co.,WN,"Washington, DC","Austin, TX",1725,2133.0,248.0,14.0,2147.0,2337.0,5.0,1950,2342.0,232.0,205.0,189.0,170.0,1315,232.0,0.0,0.0,0.0,0.0,2
24/6/2023,Endeavor Air Inc.,9E,"Raleigh/Durham, NC","New York, NY",1645,1945.0,180.0,17.0,2002.0,2106.0,4.0,1831,2110.0,159.0,106.0,85.0,64.0,431,0.0,0.0,159.0,0.0,0.0,2
25/12/2022,Southwest Airlines Co.,WN,"Denver, CO","Wichita, KS",1430,1602.0,92.0,13.0,1615.0,1807.0,4.0,1655,1811.0,76.0,85.0,69.0,52.0,420,45.0,0.0,0.0,0.0,31.0,2
6/8/2023,United Air Lines Inc.,UA,"Atlanta, GA","Chicago, IL",1559,2228.0,389.0,22.0,2250.0,2314.0,7.0,1710,2321.0,371.0,131.0,113.0,84.0,606,0.0,17.0,0.0,0.0,354.0,2
21/12/2021,Mesa Airlines Inc.,YV,"El Paso, TX","Phoenix, AZ",805,958.0,113.0,19.0,1017.0,1119.0,6.0,942,1125.0,103.0,97.0,87.0,62.0,347,103.0,0.0,0.0,0.0,0.0,2
29/8/2023,Spirit Air Lines,NK,"Las Vegas, NV","Newark, NJ",1319,1518.0,119.0,15.0,1533.0,2248.0,25.0,2115,2313.0,118.0,296.0,295.0,255.0,2227,14.0,0.0,104.0,0.0,0.0,2
1/12/2022,JetBlue Airways,B6,"Boston, MA","Seattle, WA",1922,2115.0,113.0,18.0,2133.0,39.0,15.0,2249,54.0,125.0,387.0,399.0,366.0,2496,113.0,0.0,12.0,0.0,0.0,2
1/5/2023,Spirit Air Lines,NK,"Las Vegas, NV","Seattle, WA",1515,1658.0,103.0,13.0,1711.0,1905.0,6.0,1800,1911.0,71.0,165.0,133.0,114.0,867,11.0,0.0,1.0,0.0,59.0,2
28/12/2019,SkyWest Airlines Inc.,OO,"Dallas/Fort Worth, TX","Santa Fe, NM",1730,1936.0,126.0,34.0,2010.0,2035.0,5.0,1829,2040.0,131.0,119.0,124.0,85.0,551,0.0,0.0,5.0,0.0,126.0,2
9/7/2023,United Air Lines Inc.,UA,"Newark, NJ","Dallas/Fort Worth, TX",613,728.0,75.0,33.0,801.0,1021.0,11.0,854,1032.0,98.0,221.0,244.0,200.0,1372,75.0,0.0,23.0,0.0,0.0,2
