FL_DATE,AIRLINE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
31/8/2023,Southwest Airlines Co.,"Atlanta, GA","Orlando, FL",2200,2227,27,13,2240,2338,6,2325,2344,19,85,77,58,404,10,0,0,0,9,1
31/8/2023,Delta Air Lines Inc.,"Atlanta, GA","Washington, DC",912,920,8,11,931,1044,5,1100,1049,-11,108,89,73,547,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Washington, DC","Houston, TX",1940,1938,-2,10,1948,2126,10,2153,2136,-17,193,178,158,1208,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Oklahoma City, OK","Denver, CO",640,645,5,10,655,710,5,720,715,-5,100,90,75,495,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Orlando, FL","New Orleans, LA",1435,1428,-7,11,1439,1455,4,1515,1459,-16,100,91,76,551,0,0,0,0,0,0
31/8/2023,Republic Airline,"Milwaukee, WI","Boston, MA",1028,1105,37,23,1128,1420,12,1348,1432,44,140,147,112,860,37,0,7,0,0,1
31/8/2023,Delta Air Lines Inc.,"Houston, TX","Atlanta, GA",1912,1916,4,12,1928,2152,8,2220,2200,-20,128,104,84,696,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Denver, CO","San Jose, CA",810,805,-5,15,820,926,3,948,929,-19,158,144,126,948,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Valparaiso, FL","Washington, DC",1100,1050,-10,10,1100,1348,3,1414,1351,-23,134,121,108,789,0,0,0,0,0,0
31/8/2023,Hawaiian Airlines Inc.,"Kahului, HI","Honolulu, HI",2015,2007,-8,6,2013,2039,6,2054,2045,-9,39,38,26,100,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Cincinnati, OH","Detroit, MI",605,601,-4,17,618,657,11,716,708,-8,71,67,39,229,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"New Orleans, LA","Chicago, IL",1622,1612,-10,14,1626,1814,10,1855,1824,-31,153,132,108,837,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Washington, DC","Tampa, FL",630,623,-7,15,638,834,4,858,838,-20,148,135,116,814,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Seattle, WA","Spokane, WA",1959,1954,-5,15,2009,2051,4,2106,2055,-11,67,61,42,224,0,0,0,0,0,0
31/8/2023,Hawaiian Airlines Inc.,"Lihue, HI","Kahului, HI",1214,1229,15,9,1238,1311,7,1305,1318,13,51,49,33,201,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Long Beach, CA","Salt Lake City, UT",1315,1312,-3,10,1322,1543,5,1608,1548,-20,113,96,81,588,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Buffalo, NY","Atlanta, GA",600,554,-6,9,603,743,7,804,750,-14,124,116,100,712,0,0,0,0,0,0
31/8/2023,SkyWest Airlines Inc.,"Boise, ID","Seattle, WA",1205,1201,-4,12,1213,1222,6,1237,1228,-9,92,87,69,399,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"San Francisco, CA","Atlanta, GA",1506,1504,-2,21,1525,2225,8,2248,2233,-15,282,269,240,2139,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"New York, NY","Chicago, IL",1905,1917,12,31,1948,2033,5,2030,2038,8,145,141,105,725,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Portland, OR","Philadelphia, PA",2156,2203,7,15,2218,552,14,555,606,11,299,303,274,2406,0,0,0,0,0,0
31/8/2023,Envoy Air,"Little Rock, AR","Charlotte, NC",719,719,0,9,728,1001,21,1025,1022,-3,126,123,93,640,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Kansas City, MO","Las Vegas, NV",935,943,8,11,954,1022,16,1030,1038,8,175,175,148,1139,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"San Jose, CA","Denver, CO",1830,1828,-2,10,1838,2138,6,2210,2144,-26,160,136,120,948,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Fort Myers, FL","Dallas/Fort Worth, TX",1535,1534,-1,11,1545,1659,19,1734,1718,-16,179,164,134,1017,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Washington, DC","Austin, TX",1313,1306,-7,20,1326,1523,6,1534,1529,-5,201,203,177,1297,0,0,0,0,0,0
31/8/2023,Envoy Air,"Dallas/Fort Worth, TX","Harlingen/San Benito, TX",1250,1245,-5,18,1303,1405,5,1426,1410,-16,96,85,62,461,0,0,0,0,0,0
31/8/2023,JetBlue Airways,"Albany, NY","Fort Lauderdale, FL",700,651,-9,11,702,952,9,1016,1001,-15,196,190,170,1204,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"New York, NY","Atlanta, GA",715,721,6,21,742,935,6,935,941,6,140,140,113,762,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Raleigh/Durham, NC","Newark, NJ",1938,1955,17,10,2005,2105,10,2116,2115,-1,98,80,60,416,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Las Vegas, NV","El Paso, TX",1525,1524,-1,19,1543,1807,3,1805,1810,5,100,106,84,583,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Washington, DC","Boston, MA",1015,1009,-6,27,1036,1136,8,1154,1144,-10,99,95,60,399,0,0,0,0,0,0
